structure_class,structure_classification,design_strength,design_strength_sigma,height,natural_elastic_period,natural_elastic_period_sigma,fraction_in_first_mode,fraction_in_first_mode_sigma,height_to_displacement,height_to_displacement_sigma,yield_to_design,yield_to_design_sigma,ultimate_to_yield,ultimate_to_yield_sigma,ductility,ductility_sigma,degrading_alpha,degrading_alpha_sigma,degrading_beta,degrading_beta_sigma,degrading_delta,degrading_delta_sigma,degrading_theta,degrading_theta_sigma,damping_s,damping_m,damping_l,damping_Be,structural_damage_slight,structural_damage_moderate,structural_damage_extreme,structural_damage_complete
BUILDING,PC2M,0.05,0.3,50,0.56,0.3,0.75,0.3,0.75,0.3,1.25,0.3,2,0.3,3.3,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.4,0.2,0,0.05,0.0021,0.0034,0.0086,0.0233
BUILDING,PC2H,0.038,0.3,120,1.09,0.3,0.65,0.3,0.6,0.3,1.1,0.3,2,0.3,2.5,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.4,0.2,0,0.05,0.0016,0.0026,0.0064,0.0175
BUILDING,RM1L,0.067,0.3,20,0.35,0.3,0.75,0.3,0.75,0.3,1.5,0.3,2,0.3,5,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.4,0.2,0,0.07,0.0032,0.0051,0.0128,0.035
BUILDING,RM1M,0.067,0.3,50,0.56,0.3,0.75,0.3,0.75,0.3,1.25,0.3,2,0.3,3.3,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.4,0.2,0,0.07,0.0021,0.0034,0.0086,0.0233
BUILDING,RM2L,0.067,0.3,20,0.35,0.3,0.75,0.3,0.75,0.3,1.5,0.3,2,0.3,5,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.4,0.2,0,0.07,0.0032,0.0051,0.0128,0.035
BUILDING,RM2M,0.067,0.3,50,0.56,0.3,0.75,0.3,0.75,0.3,1.25,0.3,2,0.3,3.3,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.4,0.2,0,0.07,0.0021,0.0034,0.0086,0.0233
BUILDING,RM2H,0.05,0.3,120,1.09,0.3,0.65,0.3,0.6,0.3,1.1,0.3,2,0.3,2.5,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.4,0.2,0,0.07,0.0016,0.0026,0.0064,0.0175
BUILDING,URML,0.15,0.3,15,0.1,0.3,0.75,0.3,0.75,0.3,1,0.3,1.5,0.3,1.5,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.01,0.01,0.01,0.05,0.001,0.008,0.015,0.03
BUILDING,URMM,0.15,0.3,35,0.3,0.3,0.75,0.3,0.6,0.3,1.25,0.3,1.5,0.3,2,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.01,0.01,0.01,0.05,0.001,0.008,0.015,0.03
BUILDING,MH,0.1,0.3,10,0.35,0.3,1,0.3,1,0.3,1.5,0.3,2,0.3,6,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.6,0.3,0.1,0.05,0.0032,0.0064,0.0192,0.056
BUILDING,W1MEAN,0.077,0.3,13,0.275,0.3,0.9,0.3,0.7,0.3,1.75,0.3,2,0.3,7,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.001,0.001,0.001,0.08,0.001,0.004,0.008,0.015
BUILDING,W1BVTILE,0.063,0.3,13,0.32,0.3,0.9,0.3,0.7,0.3,1.75,0.3,2,0.3,7,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.001,0.001,0.001,0.08,0.0033,0.0063,0.015,0.031
BUILDING,W1BVMETAL,0.082,0.3,13,0.28,0.3,0.9,0.3,0.7,0.3,1.75,0.3,2,0.3,7,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.001,0.001,0.001,0.08,0.0033,0.0063,0.015,0.031
BUILDING,W1TIMBERTILE,0.069,0.3,13,0.3,0.3,0.9,0.3,0.7,0.3,1.75,0.3,2,0.3,7,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.001,0.001,0.001,0.08,0.0033,0.0063,0.015,0.031
BUILDING,W1TIMBERMETAL,0.094,0.3,13,0.26,0.3,0.9,0.3,0.7,0.3,1.75,0.3,2,0.3,7,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.001,0.001,0.001,0.08,0.0033,0.0063,0.015,0.031
BUILDING,C1LMEAN,0.2,0.3,20,0.45,0.3,0.975,0.3,0.795,0.3,1.5,0.3,1.38,0.3,3.75,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.12,0.09,0.09,0.07,0.006,0.009,0.013,0.04
BUILDING,C1LSOFT,0.2,0.3,20,0.45,0.3,1,0.3,0.79,0.3,1.5,0.3,1.25,0.3,3.5,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.12,0.09,0.09,0.07,0.006,0.009,0.013,0.04
BUILDING,C1LNOSOFT,0.2,0.3,20,0.45,0.3,0.95,0.3,0.8,0.3,1.5,0.3,1.5,0.3,4,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.12,0.09,0.09,0.07,0.006,0.009,0.013,0.04
BUILDING,C1MMEAN,0.1,0.3,50,0.85,0.3,0.95,0.3,0.6,0.3,1.5,0.3,1.38,0.3,2.5,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.105,0.08,0.08,0.07,0.005,0.007,0.01,0.03
BUILDING,C1MSOFT,0.1,0.3,50,0.85,0.3,1,0.3,0.55,0.3,1.5,0.3,1.25,0.3,2,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.105,0.08,0.08,0.07,0.005,0.007,0.01,0.03
BUILDING,C1MNOSOFT,0.1,0.3,50,0.85,0.3,0.9,0.3,0.65,0.3,1.5,0.3,1.5,0.3,3,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.105,0.08,0.08,0.07,0.005,0.007,0.01,0.03
BUILDING,C1HMEAN,0.05,0.3,120,1.6,0.3,0.925,0.3,0.55,0.3,1.5,0.3,1.38,0.3,2,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.095,0.07,0.07,0.07,0.004,0.005,0.007,0.02
BUILDING,C1HSOFT,0.05,0.3,120,1.6,0.3,1,0.3,0.5,0.3,1.5,0.3,1.25,0.3,1.5,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.095,0.07,0.07,0.07,0.004,0.005,0.007,0.02
BUILDING,C1HNOSOFT,0.05,0.3,120,1.6,0.3,0.85,0.3,0.6,0.3,1.5,0.3,1.5,0.3,2.5,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.095,0.07,0.07,0.07,0.004,0.005,0.007,0.02
BUILDING,URMLMEAN,0.15,0.3,15,0.15,0.3,0.75,0.3,0.75,0.3,1.5,0.3,2,0.3,2,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.001,0.001,0.001,0.05,0.0005,0.0008,0.0012,0.002
BUILDING,URMLTILE,0.15,0.3,15,0.15,0.3,0.75,0.3,0.75,0.3,1.5,0.3,2,0.3,2,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.001,0.001,0.001,0.05,0.0005,0.0008,0.0012,0.002
BUILDING,URMLMETAL,0.2,0.3,15,0.13,0.3,0.75,0.3,0.75,0.3,1.5,0.3,2,0.3,2,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.001,0.001,0.001,0.05,0.0005,0.0008,0.0012,0.002
BUILDING,URMMMEAN,0.1,0.3,35,0.28,0.3,0.75,0.3,0.75,0.3,1.5,0.3,2,0.3,2,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.001,0.001,0.001,0.05,0.0005,0.0008,0.0012,0.002
BUILDING,URMMTILE,0.1,0.3,35,0.28,0.3,0.75,0.3,0.75,0.3,1.5,0.3,2,0.3,2,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.001,0.001,0.001,0.05,0.0005,0.0008,0.0012,0.002
BUILDING,URMMMETAL,0.15,0.3,35,0.23,0.3,0.75,0.3,0.75,0.3,1.5,0.3,2,0.3,2,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.001,0.001,0.001,0.05,0.0005,0.0008,0.0012,0.002
BRIDGE,BRIDGE1,0,0.3,0.25,1,0.3,0,0.3,0,0.3,0,0.3,0,0.3,0,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0,0,0,0,0.4,0.5,0.7,0.9
BRIDGE,BRIDGE2,0,0.3,0.25,1,0.3,0,0.3,0,0.3,0,0.3,0,0.3,0,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0,0,0,0,0.6,0.9,1.1,1.7
BRIDGE,BRIDGE3,1,0.3,0.25,1,0.3,0,0.3,0,0.3,0,0.3,0,0.3,0,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0,0,0,0,0.8,1,1.2,1.7
BRIDGE,BRIDGE4,0,0.3,0.25,1,0.3,0,0.3,0,0.3,0,0.3,0,0.3,0,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0,0,0,0,0.25,0.35,0.45,0.7
BRIDGE,BRIDGE5,0,0.3,0.33,0,0.3,0,0.3,0,0.3,0,0.3,0,0.3,0,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0,0,0,0,0.35,0.45,0.55,0.8
BRIDGE,BRIDGE6,1,0.3,0.33,0,0.3,0,0.3,0,0.3,0,0.3,0,0.3,0,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0,0,0,0,0.6,0.9,1.1,1.5
BRIDGE,BRIDGE7,0,0.3,0.09,1,0.3,0,0.3,0,0.3,0,0.3,0,0.3,0,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0,0,0,0,0.25,0.35,0.45,0.7
BRIDGE,BRIDGE8,1,0.3,0.05,0,0.3,0,0.3,0,0.3,0,0.3,0,0.3,0,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0,0,0,0,0.75,0.75,0.75,1.1
BRIDGE,BRIDGE9,0,0.3,0.25,1,0.3,0,0.3,0,0.3,0,0.3,0,0.3,0,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0,0,0,0,0.25,0.35,0.45,0.7
BRIDGE,BRIDGE10,0,0.3,0.33,0,0.3,0,0.3,0,0.3,0,0.3,0,0.3,0,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0,0,0,0,0.35,0.45,0.55,0.8
BRIDGE,BRIDGE11,1,0.3,0.33,0,0.3,0,0.3,0,0.3,0,0.3,0,0.3,0,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0,0,0,0,0.6,0.9,1.1,1.5
BRIDGE,BRIDGE12,0,0.3,0.2,1,0.3,0,0.3,0,0.3,0,0.3,0,0.3,0,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0,0,0,0,0.25,0.35,0.45,0.7
BRIDGE,BRIDGE13,1,0.3,0.1,0,0.3,0,0.3,0,0.3,0,0.3,0,0.3,0,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0,0,0,0,0.75,0.75,0.75,1.1
BRIDGE,BRIDGE14,0,0.3,0.25,1,0.3,0,0.3,0,0.3,0,0.3,0,0.3,0,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0,0,0,0,0.8,1,1.2,1.7
BUILDING,ASK_TREVOR,0.15,0.3,15,0.15,0.3,0.75,0.3,0.75,0.3,1.5,0.3,2,0.3,2,0.3,0.4,0.3,0.6,0.3,0.8,0.3,1,0.3,0.001,0.001,0.001,0.05,0.0003,0.0004,0.0008,0.0012
