structure_class,structure_classification,design_strength,design_strength_sigma,height,natural_elastic_period,natural_elastic_period_sigma,fraction_in_first_mode,fraction_in_first_mode_sigma,height_to_displacement,height_to_displacement_sigma,yield_to_design,yield_to_design_sigma,ultimate_to_yield,ultimate_to_yield_sigma,ductility,ductility_sigma,damping_s,damping_m,damping_l,damping_Be,structural_damage_slight,structural_damage_moderate,structural_damage_extreme,structural_damage_complete
BUILDING,C1LMEAN,0.2,0.06,20,0.45,0.045,0.975,0.0975,0.795,0.0795,1.5,0.15,1.38,0.138,3.75,1.125,0.12,0.09,0.09,0.07,0.006,0.009,0.013,0.04
BUILDING,C1LSOFT,0.2,0.06,20,0.45,0.045,1,0.1,0.79,0.079,1.5,0.15,1.25,0.125,3.5,1.05,0.12,0.09,0.09,0.07,0.006,0.009,0.013,0.04
BUILDING,C1LNOSOFT,0.2,0.06,20,0.45,0.045,0.95,0.095,0.8,0.08,1.5,0.15,1.5,0.15,4,1.2,0.12,0.09,0.09,0.07,0.006,0.009,0.013,0.04
BUILDING,C1MMEAN,0.1,0.03,50,0.85,0.085,0.95,0.095,0.6,0.06,1.5,0.15,1.38,0.138,2.5,0.75,0.105,0.08,0.08,0.07,0.005,0.007,0.01,0.03
BUILDING,C1MSOFT,0.1,0.03,50,0.85,0.085,1,0.1,0.55,0.055,1.5,0.15,1.25,0.125,2,0.6,0.105,0.08,0.08,0.07,0.005,0.007,0.01,0.03
BUILDING,C1MNOSOFT,0.1,0.03,50,0.85,0.085,0.9,0.09,0.65,0.065,1.5,0.15,1.5,0.15,3,0.9,0.105,0.08,0.08,0.07,0.005,0.007,0.01,0.03
BUILDING,C1HMEAN,0.05,0.015,120,1.6,0.16,0.925,0.0925,0.55,0.055,1.5,0.15,1.38,0.138,2,0.6,0.095,0.07,0.07,0.07,0.004,0.005,0.007,0.02
BUILDING,C1HSOFT,0.05,0.015,120,1.6,0.16,1,0.1,0.5,0.05,1.5,0.15,1.25,0.125,1.5,0.45,0.095,0.07,0.07,0.07,0.004,0.005,0.007,0.02
BUILDING,C1HNOSOFT,0.05,0.015,120,1.6,0.16,0.85,0.085,0.6,0.06,1.5,0.15,1.5,0.15,2.5,0.75,0.095,0.07,0.07,0.07,0.004,0.005,0.007,0.02
BUILDING,URMLMEAN,0.15,0.045,15,0.15,0.015,0.75,0.075,0.75,0.075,1.5,0.15,2,0.2,2,0.6,0.001,0.001,0.001,0.05,0.0005,0.0008,0.0012,0.002
BUILDING,URMLTILE,0.15,0.045,15,0.15,0.015,0.75,0.075,0.75,0.075,1.5,0.15,2,0.2,2,0.6,0.001,0.001,0.001,0.05,0.0005,0.0008,0.0012,0.002
BUILDING,URMLMETAL,0.2,0.06,15,0.13,0.013,0.75,0.075,0.75,0.075,1.5,0.15,2,0.2,2,0.6,0.001,0.001,0.001,0.05,0.0005,0.0008,0.0012,0.002
BUILDING,URMMMEAN,0.1,0.03,35,0.28,0.028,0.75,0.075,0.75,0.075,1.5,0.15,2,0.2,2,0.6,0.001,0.001,0.001,0.05,0.0005,0.0008,0.0012,0.002
BUILDING,URMMTILE,0.1,0.03,35,0.28,0.028,0.75,0.075,0.75,0.075,1.5,0.15,2,0.2,2,0.6,0.001,0.001,0.001,0.05,0.0005,0.0008,0.0012,0.002
BUILDING,URMMMETAL,0.15,0.045,35,0.23,0.023,0.75,0.075,0.75,0.075,1.5,0.15,2,0.2,2,0.6,0.001,0.001,0.001,0.05,0.0005,0.0008,0.0012,0.002
BRIDGE,BRIDGE1,0,0,0.25,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.5,0.7,0.9
BRIDGE,BRIDGE2,0,0,0.25,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.9,1.1,1.7
BRIDGE,BRIDGE3,1,0.3,0.25,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,1,1.2,1.7
BRIDGE,BRIDGE4,0,0,0.25,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.35,0.45,0.7
BRIDGE,BRIDGE5,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0.45,0.55,0.8
BRIDGE,BRIDGE6,1,0.3,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.9,1.1,1.5
BRIDGE,BRIDGE7,0,0,0.09,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.35,0.45,0.7
BRIDGE,BRIDGE8,1,0.3,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.75,0.75,1.1
BRIDGE,BRIDGE9,0,0,0.25,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.35,0.45,0.7
BRIDGE,BRIDGE10,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0.45,0.55,0.8
BRIDGE,BRIDGE11,1,0.3,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.9,1.1,1.5
BRIDGE,BRIDGE12,0,0,0.2,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.35,0.45,0.7
BRIDGE,BRIDGE13,1,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.75,0.75,1.1
BRIDGE,BRIDGE14,0,0,0.25,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,1,1.2,1.7
BUILDING,ASK_TREVOR,0.15,0.045,15,0.15,0.015,0.75,0.075,0.75,0.075,1.5,0.15,2,0.2,2,0.6,0.001,0.001,0.001,0.05,0.0003,0.0004,0.0008,0.0012
